emp_no,first_name,last_name,birth_date,from_date,to_date,title
10958,Huican,Katalagarianos,1958-11-07,1988-11-27,9999-01-01,Senior Engineer
10962,Naraig,Kugler,1956-08-23,1986-12-16,9999-01-01,Senior Staff
10968,Lakshmi,Kolinko,1961-03-19,1985-08-11,9999-01-01,Senior Staff
10972,Fumiko,Asser,1961-10-05,1987-06-06,9999-01-01,Engineer
10978,Huiqun,Bellone,1962-09-24,1985-05-18,9999-01-01,Senior Engineer
10979,Elrique,Raney,1959-09-11,1986-01-27,9999-01-01,Engineer
10983,Somnath,Parascandalo,1961-08-09,1988-02-22,9999-01-01,Senior Engineer
11001,Baziley,Buchter,1956-04-16,1987-02-23,9999-01-01,Senior Engineer
11003,Mariangiola,Gulla,1960-11-13,1987-05-24,9999-01-01,Engineer
11010,Jaques,Narwekar,1963-03-20,1986-12-18,9999-01-01,Senior Staff
11016,Sibyl,Rajaraman,1957-05-25,1988-08-10,9999-01-01,Technique Leader
11020,Weiwu,Encarnacion,1957-03-18,1988-03-25,9999-01-01,Senior Engineer
11036,Muzhong,Greenaway,1962-09-04,1988-10-24,9999-01-01,Senior Staff
11040,Cristinel,Denna,1961-11-07,1988-01-22,9999-01-01,Staff
11058,Shigeaki,Cyre,1962-04-24,1985-06-07,9999-01-01,Senior Staff
11059,Shawna,Jarecki,1962-05-26,1986-11-17,9999-01-01,Senior Engineer
11065,Filipe,Rathonyi,1957-06-12,1985-11-14,9999-01-01,Senior Engineer
11080,Sanjai,Puppe,1956-12-27,1988-07-04,9999-01-01,Senior Engineer
11099,Woody,Spataro,1958-07-12,1985-12-31,9999-01-01,Staff
11109,Chinho,Stamatiou,1964-11-05,1985-03-29,9999-01-01,Senior Staff
11123,Herb,Cooley,1956-10-21,1988-03-28,9999-01-01,Senior Staff
11128,Shunichi,Pusterhofer,1956-06-16,1988-10-04,9999-01-01,Senior Engineer
11149,Domenico,Imataki,1964-06-28,1987-08-26,9999-01-01,Senior Staff
11151,Gor,Reinhard,1958-06-27,1987-06-16,9999-01-01,Senior Engineer
11161,Ung,Ashish,1957-01-30,1988-05-31,9999-01-01,Engineer
11184,Masoud,Theuretzbacher,1958-04-01,1985-04-27,9999-01-01,Staff
11188,Kazuyasu,Kushner,1956-03-13,1987-04-23,9999-01-01,Engineer
11194,Giap,Tempesti,1957-10-18,1987-10-25,9999-01-01,Senior Engineer
11198,Leif,Gini,1963-05-12,1988-02-07,9999-01-01,Senior Staff
11212,Teruyuki,Peternell,1961-08-10,1985-10-16,9999-01-01,Staff
11227,Dayanand,Figueira,1956-01-31,1985-03-08,9999-01-01,Staff
11231,Marit,Narwekar,1959-01-28,1988-04-07,9999-01-01,Senior Staff
11239,Gurbir,Kenevan,1957-02-27,1987-09-08,9999-01-01,Senior Staff
11244,Navin,Restivo,1959-08-20,1985-06-08,9999-01-01,Senior Staff
11259,Amalendu,Gronowski,1960-01-13,1986-12-26,9999-01-01,Senior Staff
11261,Claudi,Demri,1963-09-05,1987-12-06,9999-01-01,Engineer
11264,Uma,Oehlmann,1964-03-15,1986-10-09,9999-01-01,Senior Engineer
11273,Make,Guting,1961-09-12,1987-10-07,9999-01-01,Staff
11276,Yunming,Cappelletti,1957-03-10,1988-03-12,9999-01-01,Senior Staff
11278,Sumali,Juneja,1956-12-15,1986-04-22,9999-01-01,Staff
11283,Shmuel,Codenie,1964-02-25,1987-06-30,9999-01-01,Senior Staff
11284,Bernice,Felcyn,1961-03-25,1985-04-25,9999-01-01,Assistant Engineer
11286,Joydip,Gini,1964-12-04,1988-02-16,9999-01-01,Senior Staff
11287,Sreenivas,Farrag,1963-08-16,1987-08-12,9999-01-01,Senior Staff
11303,Jaewoo,Usery,1957-04-27,1986-11-05,9999-01-01,Senior Engineer
11313,Paraskevi,Kusalik,1962-06-21,1986-02-28,9999-01-01,Senior Staff
11318,Gopalakrishnan,Unno,1964-09-09,1986-01-25,9999-01-01,Senior Staff
11328,Xiong,Ferriere,1958-10-13,1986-08-08,9999-01-01,Staff
11329,Limsoon,McConalogue,1956-03-01,1987-05-02,9999-01-01,Staff
11331,Kasturi,Fraisse,1959-10-15,1987-03-03,9999-01-01,Staff
11333,Heon,Slobodova,1960-06-19,1988-02-14,9999-01-01,Assistant Engineer
11350,Zito,Moehrke,1956-10-22,1985-07-21,9999-01-01,Engineer
11353,Utpal,Berztiss,1960-01-30,1987-11-09,9999-01-01,Senior Staff
11354,Tianruo,Stasinski,1957-11-01,1987-06-23,9999-01-01,Senior Staff
11356,Hercules,Gerlach,1959-12-31,1988-12-04,9999-01-01,Senior Engineer
11362,Tooru,Hockney,1963-11-24,1987-10-29,9999-01-01,Engineer
11363,Jenwei,Milicia,1962-04-27,1986-03-16,9999-01-01,Senior Staff
11371,Tadahiko,Masamoto,1956-05-17,1988-12-25,9999-01-01,Senior Engineer
11375,Dmitri,Noriega,1960-08-13,1985-05-27,9999-01-01,Senior Staff
11378,Masamitsu,Katiyar,1959-07-30,1988-12-17,9999-01-01,Senior Engineer
11388,Rosine,Gerteisen,1958-08-03,1985-12-20,9999-01-01,Senior Engineer
11394,Masadi,Uhrik,1964-01-02,1988-12-20,9999-01-01,Staff
11395,Nectarios,Chleq,1959-03-04,1987-06-20,9999-01-01,Staff
11402,Freyja,Brizzi,1957-02-09,1985-03-10,9999-01-01,Staff
11416,Zijian,Oxman,1957-12-18,1987-09-21,9999-01-01,Senior Staff
11429,Nagui,Kaminger,1957-02-22,1986-10-16,9999-01-01,Senior Staff
11435,Utpal,Lichtman,1962-05-29,1986-10-15,9999-01-01,Senior Staff
11442,Leucio,Rindone,1956-05-01,1987-06-22,9999-01-01,Engineer
11447,Rasiah,Billawala,1961-07-23,1985-09-18,9999-01-01,Senior Engineer
11458,Stevo,Chenoweth,1958-08-09,1985-10-06,9999-01-01,Senior Staff
11486,Itzchak,Ramaiah,1963-03-05,1985-05-31,9999-01-01,Staff
11488,Houman,Veldwijk,1962-11-18,1987-08-25,9999-01-01,Engineer
11491,Maha,Matteis,1960-12-13,1988-11-08,9999-01-01,Senior Engineer
11508,Ronnie,Ritcey,1956-05-03,1988-04-12,9999-01-01,Technique Leader
11512,Nidapan,Hagimont,1962-09-24,1987-09-01,9999-01-01,Engineer
11538,Dekang,Bage,1958-09-29,1987-03-24,9999-01-01,Senior Engineer
11542,Maia,Kawashima,1960-05-11,1985-06-20,9999-01-01,Senior Staff
11543,Takahiro,Krohm,1959-07-21,1987-04-01,9999-01-01,Engineer
11545,Bartek,Lieblein,1962-08-01,1986-09-19,9999-01-01,Senior Engineer
11546,Duro,Vuskovic,1964-12-22,1987-06-30,9999-01-01,Senior Staff
11551,Subhrajyoti,Gonthier,1962-08-28,1986-05-09,9999-01-01,Senior Engineer
11563,Teruyuki,Tetzlaff,1958-11-05,1988-12-10,9999-01-01,Senior Staff
11565,Yoshinari,Sankaranarayanan,1963-09-02,1988-02-03,9999-01-01,Senior Engineer
11569,Kasidit,Geffroy,1959-08-29,1988-11-23,9999-01-01,Senior Engineer
11570,Mayumi,Uchoa,1960-08-12,1988-10-07,9999-01-01,Senior Staff
11580,Chanjung,Tanemo,1956-04-05,1985-07-06,9999-01-01,Senior Engineer
11584,Pradeep,Waymire,1956-03-20,1985-06-20,9999-01-01,Senior Engineer
11591,Kiyomitsu,Lindqvist,1961-10-03,1987-10-18,9999-01-01,Senior Staff
11608,Jagoda,Jonsson,1961-04-17,1987-04-19,9999-01-01,Technique Leader
11610,Eirik,Sidhu,1962-07-17,1985-10-18,9999-01-01,Engineer
11621,Ottavia,Baaleh,1956-04-23,1986-11-17,9999-01-01,Staff
11639,Khatoun,Herath,1964-05-02,1987-02-18,9999-01-01,Senior Engineer
11645,Olivera,Setia,1957-04-21,1985-06-10,9999-01-01,Engineer
11663,Maria,Trumbly,1957-11-08,1987-09-11,9999-01-01,Staff
11670,Evgueni,Kroon,1964-09-25,1985-05-17,9999-01-01,Senior Staff
11671,Pranjal,Babu,1957-08-18,1986-12-31,9999-01-01,Senior Staff
11674,Dzung,Gyimothy,1959-10-29,1987-12-20,9999-01-01,Staff
11678,Zhaofang,Bernick,1957-03-27,1987-09-20,9999-01-01,Senior Engineer
11682,Dante,Zumaque,1963-03-13,1986-11-27,9999-01-01,Senior Staff
11709,Insup,Wossner,1959-04-11,1985-11-09,9999-01-01,Engineer
11757,Jackson,Meriste,1964-05-22,1987-04-07,9999-01-01,Senior Engineer
11760,Along,Miake,1959-03-30,1985-09-15,9999-01-01,Assistant Engineer
11766,Nimmagadda,Berztiss,1964-10-10,1987-10-27,9999-01-01,Engineer
11767,Ortrud,Kusakabe,1960-01-24,1986-12-19,9999-01-01,Engineer
11775,Sajjad,Xiaoshan,1963-06-16,1988-11-15,9999-01-01,Senior Engineer
11790,Huai,Henseler,1960-06-12,1988-03-09,9999-01-01,Senior Engineer
11792,Gina,Aumann,1959-10-27,1987-05-29,9999-01-01,Senior Engineer
11798,Kwan,Quaggetto,1964-08-14,1987-12-10,9999-01-01,Senior Staff
11802,Katsuo,Benzmuller,1956-01-18,1988-04-12,9999-01-01,Engineer
11804,Bikash,Rusterholz,1958-02-28,1986-09-16,9999-01-01,Engineer
11808,Morrie,Rosiles,1962-09-03,1986-05-17,9999-01-01,Engineer
11809,Anneli,Bennis,1957-09-17,1987-03-02,9999-01-01,Senior Engineer
11812,Taizo,Merey,1956-10-13,1987-09-30,9999-01-01,Senior Staff
11818,Dmitry,Matteis,1960-07-08,1987-08-14,9999-01-01,Senior Engineer
11819,Shigeo,Lampe,1958-12-14,1987-07-07,9999-01-01,Senior Engineer
11825,Theirry,Kuzuoka,1961-12-12,1987-05-02,9999-01-01,Senior Engineer
11826,Carrsten,Rotem,1964-02-20,1988-07-06,9999-01-01,Engineer
11828,Mikhail,Paciorek,1958-06-15,1985-06-12,9999-01-01,Staff
11840,Jayson,Hofman,1962-07-27,1986-12-21,9999-01-01,Senior Staff
11863,Stella,Peng,1962-07-03,1988-12-16,9999-01-01,Senior Engineer
11908,Candida,Iisaku,1957-09-13,1985-10-16,9999-01-01,Staff
11914,Kristina,Lovengreen,1957-04-28,1988-06-02,9999-01-01,Engineer
11918,Mayuri,Pollacia,1956-02-18,1987-03-19,9999-01-01,Senior Staff
11921,Yaghout,Benner,1958-10-19,1986-03-04,9999-01-01,Engineer
11927,Mana,Aingworth,1956-10-27,1986-04-26,9999-01-01,Senior Staff
11942,Uri,Scharstein,1957-08-22,1985-04-06,9999-01-01,Senior Engineer
11960,Moss,Flasterstein,1960-01-15,1988-07-28,9999-01-01,Senior Staff
11962,Niranjan,Erde,1959-03-17,1988-10-30,9999-01-01,Staff
11966,Poornachandra,Rotem,1960-10-22,1987-01-20,9999-01-01,Staff
11971,Dhritiman,Cooke,1957-10-08,1987-11-11,9999-01-01,Engineer
11976,Jacqueline,Barvinok,1960-01-11,1986-10-08,9999-01-01,Engineer
11982,Marsha,Hasenauer,1957-01-21,1985-12-17,9999-01-01,Senior Engineer
11985,Baocai,Wiegley,1959-10-12,1985-12-18,9999-01-01,Engineer
11990,Chanjung,Matheson,1964-11-24,1988-09-05,9999-01-01,Engineer
11991,Qunsheng,Esteva,1961-10-15,1985-09-29,9999-01-01,Senior Staff
12014,Apostol,Lunt,1962-04-30,1988-10-11,9999-01-01,Engineer
12019,Mads,Ossenbruggen,1962-09-05,1986-02-17,9999-01-01,Staff
12020,Hitomi,Uludag,1956-06-05,1988-08-09,9999-01-01,Senior Staff
12029,Jaana,Nourani,1958-06-07,1986-07-10,9999-01-01,Engineer
12031,Achilleas,Vendrig,1962-01-11,1987-02-10,9999-01-01,Senior Engineer
12032,Oguz,Etalle,1957-12-07,1988-03-23,9999-01-01,Senior Engineer
12038,Aruna,Businaro,1956-04-13,1987-01-09,9999-01-01,Senior Engineer
12039,Kazuhide,Junet,1964-12-03,1988-04-04,9999-01-01,Senior Staff
12048,Rosine,Schwabacher,1959-09-23,1985-05-25,9999-01-01,Senior Engineer
12051,Youpyo,Suermann,1956-04-17,1985-09-28,9999-01-01,Engineer
12056,Nirmal,Genther,1962-09-27,1988-06-02,9999-01-01,Senior Engineer
12061,Anneke,Mellouli,1960-05-15,1988-04-14,9999-01-01,Senior Staff
12064,Heping,Silva,1962-01-22,1986-03-14,9999-01-01,Engineer
12065,Moto,Roohalamini,1964-04-10,1987-06-18,9999-01-01,Engineer
12066,Junichi,Deville,1963-06-01,1985-09-20,9999-01-01,Senior Staff
12079,Michaela,Suwa,1960-08-16,1985-12-09,9999-01-01,Senior Staff
12085,Hugh,Rouquie,1964-04-01,1986-07-03,9999-01-01,Senior Staff
12100,Nevio,Beznosov,1958-03-23,1986-11-24,9999-01-01,Staff
12115,Moni,Candan,1961-06-24,1985-03-19,9999-01-01,Senior Engineer
12120,Eckart,Schrift,1956-04-24,1986-06-20,9999-01-01,Senior Staff
12131,Gregory,Fandrianto,1961-02-27,1986-10-11,9999-01-01,Senior Engineer
12136,Slavian,Huxford,1958-07-06,1985-08-02,9999-01-01,Senior Engineer
12146,Urs,Garnick,1959-04-21,1987-08-26,9999-01-01,Senior Staff
12147,Ghassan,Srimani,1956-07-26,1988-06-24,9999-01-01,Senior Engineer
12154,Aksel,Snedden,1960-07-20,1986-05-24,9999-01-01,Technique Leader
12157,Georgi,Barinka,1960-03-30,1985-06-04,9999-01-01,Staff
12184,Chenxi,Zhang,1961-06-19,1987-01-11,9999-01-01,Staff
12198,Shai,Huxford,1956-08-03,1986-05-04,9999-01-01,Senior Engineer
12199,Huan,Poupard,1962-11-04,1985-06-22,9999-01-01,Senior Staff
12207,Radoslaw,Menyhert,1958-12-19,1986-06-08,9999-01-01,Staff
12211,Macha,Lores,1957-04-21,1986-12-26,9999-01-01,Senior Staff
12232,Subhankar,Ratnakar,1957-09-26,1988-10-07,9999-01-01,Staff
12236,Ebbe,Thambidurai,1957-06-12,1987-09-11,9999-01-01,Senior Engineer
12241,Ulises,Rando,1959-09-19,1987-03-30,9999-01-01,Staff
12244,Annemarie,Harllee,1960-02-01,1988-01-13,9999-01-01,Senior Staff
12251,Iara,Hiraishi,1960-07-03,1985-07-20,9999-01-01,Senior Engineer
12255,Pasqua,Hoogerwoord,1957-05-17,1986-12-08,9999-01-01,Senior Staff
12280,Lidong,Eiter,1957-09-29,1985-02-27,9999-01-01,Senior Engineer
12286,Owen,Pesch,1957-06-16,1988-07-20,9999-01-01,Senior Staff
12302,Matt,Plessier,1962-02-14,1987-01-28,9999-01-01,Staff
12304,Martien,Baja,1958-06-24,1987-01-09,9999-01-01,Staff
12306,Suvo,Menyhert,1960-12-09,1986-05-18,9999-01-01,Staff
12307,Sarita,Schlumberger,1964-09-15,1985-02-23,9999-01-01,Engineer
12313,Tsutomu,Narahari,1961-01-16,1986-10-21,9999-01-01,Senior Engineer
12347,Remko,Ranze,1960-03-09,1986-03-23,9999-01-01,Senior Staff
12363,Gennady,Glowinski,1956-12-26,1987-09-16,9999-01-01,Senior Staff
12369,Sanjoy,Giaccio,1961-06-09,1987-04-19,9999-01-01,Engineer
12376,Kwangsub,Matzen,1958-06-03,1986-11-11,9999-01-01,Engineer
12387,Lijie,Landherr,1960-08-25,1986-06-09,9999-01-01,Engineer
12392,Uzi,Kragelund,1961-07-24,1987-09-13,9999-01-01,Senior Engineer
12396,Lubomir,Ginesta,1960-06-16,1988-11-02,9999-01-01,Technique Leader
12397,Oksana,Swiss,1960-08-14,1987-08-18,9999-01-01,Engineer
12404,Manu,Kulisch,1964-11-16,1985-12-14,9999-01-01,Senior Engineer
12410,Masanao,Besselaar,1963-08-15,1988-04-28,9999-01-01,Technique Leader
12433,Roddy,Harbusch,1958-09-06,1987-08-04,9999-01-01,Senior Engineer
12437,Mohammed,Cronan,1957-05-01,1987-08-26,9999-01-01,Engineer
12444,Monique,Reinhard,1962-11-29,1987-08-16,9999-01-01,Staff
12445,Luisa,Mahmud,1958-03-16,1986-02-01,9999-01-01,Technique Leader
12446,Xiaoqiang,Keustermans,1964-01-05,1987-11-06,9999-01-01,Senior Staff
12447,Bernice,Huxford,1956-08-21,1985-02-10,9999-01-01,Engineer
12453,True,Ebeling,1958-06-04,1985-12-12,9999-01-01,Engineer
12465,Gita,Ressouche,1957-01-31,1985-11-22,9999-01-01,Senior Staff
12469,Basant,Khalil,1960-01-24,1987-03-01,9999-01-01,Technique Leader
12472,Leah,Madeira,1962-07-19,1985-12-10,9999-01-01,Engineer
12481,Ipke,Uludag,1963-07-09,1985-05-11,9999-01-01,Engineer
12510,Rosli,Hellwagner,1961-10-04,1985-05-15,9999-01-01,Senior Engineer
12513,Niteen,Vesna,1961-02-16,1985-10-30,9999-01-01,Senior Staff
12533,Tamiya,Lowrie,1961-03-02,1987-07-13,9999-01-01,Staff
12546,Luisa,Shobatake,1964-03-10,1988-06-05,9999-01-01,Senior Staff
12554,Debatosh,Muhling,1957-12-12,1985-08-29,9999-01-01,Engineer
12560,Leszek,Makinen,1958-07-13,1986-05-19,9999-01-01,Senior Staff
12570,Stafford,Anily,1961-08-06,1985-03-28,9999-01-01,Senior Engineer
12578,Tamiya,Perin,1964-01-22,1986-07-28,9999-01-01,Staff
12582,Saniya,Herath,1961-01-23,1987-02-07,9999-01-01,Senior Staff
12592,Gina,Smailagic,1957-01-26,1988-09-27,9999-01-01,Senior Engineer
12600,Lucian,Garrabrants,1960-05-16,1986-09-23,9999-01-01,Technique Leader
12615,Fumino,Oppitz,1958-07-26,1988-09-01,9999-01-01,Senior Engineer
12620,Shahaf,Swick,1961-06-04,1988-09-16,9999-01-01,Staff
12624,Zhongwei,Zykh,1956-10-30,1986-01-25,9999-01-01,Staff
12631,Bogdan,Ghandeharizadeh,1958-10-21,1988-09-25,9999-01-01,Senior Engineer
12632,Shaleah,Manderick,1960-10-12,1987-06-10,9999-01-01,Technique Leader
12649,Odinaldo,Luon,1962-08-22,1985-10-05,9999-01-01,Staff
12650,Odoardo,Demke,1958-04-13,1986-05-22,9999-01-01,Engineer
12654,Zhaofang,Tagansky,1961-02-25,1986-07-24,9999-01-01,Senior Engineer
12655,Herb,Ramaiah,1959-05-18,1985-12-12,9999-01-01,Engineer
12667,Maris,Kemmerer,1959-01-14,1985-12-18,9999-01-01,Senior Engineer
12669,Caolyn,Roisin,1962-02-09,1987-05-30,9999-01-01,Senior Staff
